us-gaap tag
AccountsAndOtherReceivablesNetCurrent
AccountsPayable
AccountsPayableCurrent
AccountsReceivableNetCurrent
AccruedAdvertisingCurrent
AccruedLiabilities
AccruedLiabilitiesCurrent
AccruedLiabilitiesCurrentAndNoncurrent
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax
AccumulatedOtherComprehensiveIncomeLossNetOfTax
AcquiredFiniteLivedIntangibleAssetAmount
AdditionalPaidInCapital
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation
AdjustmentsToAdditionalPaidInCapitalOther
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation
AllocatedShareBasedCompensationExpense
AmortizationOfIntangibleAssets
AssetImpairmentCharges
Assets
AssetsCurrent
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax
AvailableForSaleDebtSecuritiesAmortizedCostBasis
AvailableForSaleSecurities
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax
AvailableForSaleSecuritiesAmortizedCost
AvailableForSaleSecuritiesCurrent
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsAmortizedCost
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsFairValue
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsAmortizedCost
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue
AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsAmortizedCost
AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsFairValue
AvailableForSaleSecuritiesDebtMaturitiesAmortizedCost
AvailableForSaleSecuritiesDebtMaturitiesFairValue
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearAmortizedCost
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue
AvailableForSaleSecuritiesDebtMaturitiesWithoutSingleMaturityDateAmortizedCost
AvailableForSaleSecuritiesDebtMaturitiesWithoutSingleMaturityDateFairValue
AvailableForSaleSecuritiesDebtSecurities
AvailableForSaleSecuritiesGrossRealizedGains
AvailableForSaleSecuritiesGrossRealizedLosses
AvailableForSaleSecuritiesGrossUnrealizedLosses1
AvailableForSaleSecuritiesNoncurrent
AvailableforsaleSecuritiesGrossUnrealizedGain
BusinessAcquisitionCostOfAcquiredEntityCashPaid
BusinessCombinationConsiderationTransferred1
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability
BusinessCombinationContingentConsiderationLiability
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedAssets
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCashAndEquivalents
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsOther
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilities
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesLongTermDebt
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibleAssetsOtherThanGoodwill
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedLiabilities
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNet
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNoncurrentLiabilities
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedOtherNoncurrentAssets
BusinessCombinationStepAcquisitionEquityInterestInAcquireeRemeasurementGainOrLoss
CapitalLeaseObligations
CapitalLeaseObligationsIncurred
CapitalLeasesFutureMinimumPaymentsDue
CapitalLeasesFutureMinimumPaymentsDueCurrent
CapitalLeasesFutureMinimumPaymentsDueInFiveYears
CapitalLeasesFutureMinimumPaymentsDueInFourYears
CapitalLeasesFutureMinimumPaymentsDueInThreeYears
CapitalLeasesFutureMinimumPaymentsDueInTwoYears
CapitalLeasesFutureMinimumPaymentsDueThereafter
CapitalLeasesFutureMinimumPaymentsPresentValueOfNetMinimumPayments
CapitalLeasesLesseeBalanceSheetAssetsByMajorClassAccumulatedDeprecation
CapitalLeasesLesseeBalanceSheetAssetsByMajorClassOtherPropertyPlantAndEquipment
CapitalizedComputerSoftwareImpairments
CashAndCashEquivalentsAtCarryingValue
CashAndCashEquivalentsPeriodIncreaseDecrease
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect
CashSurrenderValueOfLifeInsurance
CommitmentsAndContingencies
CommonStockDividendsPerShareDeclared
ComprehensiveIncomeNetOfTax
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest
ContractWithCustomerLiabilityCurrent
ContractWithCustomerLiabilityRevenueRecognized
CostMethodInvestmentsOriginalCost
CostsAndExpenses
CumulativeEffectOfInitialAdoptionOfNewAccountingPrinciple
CurrentFederalTaxExpenseBenefit
CurrentForeignTaxExpenseBenefit
CurrentIncomeTaxExpenseBenefit
CurrentStateAndLocalTaxExpenseBenefit
CustomerDepositsCurrent
DebtInstrumentCarryingAmount
DebtInstrumentFairValue
DebtInstrumentInterestRateStatedPercentage
DebtInstrumentPeriodicPayment
DebtInstrumentUnamortizedDiscount
DebtInstrumentUnamortizedDiscountPremiumAndDebtIssuanceCostsNet
DebtLongtermAndShorttermCombinedAmount
DeconsolidationGainOrLossAmount
DeferredCompensationLiabilityCurrentAndNoncurrent
DeferredCompensationPlanAssets
DeferredFederalIncomeTaxExpenseBenefit
DeferredForeignIncomeTaxExpenseBenefit
DeferredIncomeTaxAssetsNet
DeferredIncomeTaxExpenseBenefit
DeferredIncomeTaxLiabilities
DeferredIncomeTaxLiabilitiesNet
DeferredStateAndLocalIncomeTaxExpenseBenefit
DeferredTaxAssetsGoodwillAndIntangibleAssets
DeferredTaxAssetsLiabilitiesNet
DeferredTaxAssetsLiabilitiesNetCurrent
DeferredTaxAssetsLiabilitiesNetNoncurrent
DeferredTaxAssetsNet
DeferredTaxAssetsNetCurrent
DeferredTaxAssetsNetNoncurrent
DeferredTaxAssetsOperatingLossCarryforwards
DeferredTaxAssetsOther
DeferredTaxAssetsPropertyPlantAndEquipment
DeferredTaxAssetsStateTaxes
DeferredTaxAssetsTaxCreditCarryforwardsForeign
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefits
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities
DeferredTaxAssetsUnrealizedCurrencyLosses
DeferredTaxAssetsValuationAllowance
DeferredTaxAssetsValuationAllowanceCurrent
DeferredTaxAssetsValuationAllowanceNoncurrent
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets
DeferredTaxLiabilitiesInvestmentInNoncontrolledAffiliates
DeferredTaxLiabilitiesNoncurrent
DeferredTaxLiabilitiesOther
DeferredTaxLiabilitiesPrepaidExpenses
DeferredTaxLiabilitiesPropertyPlantAndEquipment
DeferredTaxLiabilitiesUndistributedForeignEarnings
DeferredTaxLiabilitiesUnrealizedCurrencyTransactionGains
DefinedBenefitPlanAmortizationOfNetGainsLosses
DefinedBenefitPlanEffectOfOnePercentagePointDecreaseOnAccumulatedPostretirementBenefitObligation
DefinedBenefitPlanEffectOfOnePercentagePointDecreaseOnAccumulatedPostretirementBenefitObligation1
DefinedBenefitPlanEffectOfOnePercentagePointDecreaseOnServiceAndInterestCostComponents
DefinedBenefitPlanEffectOfOnePercentagePointIncreaseOnAccumulatedPostretirementBenefitObligation
DefinedBenefitPlanEffectOfOnePercentagePointIncreaseOnServiceAndInterestCostComponents
DefinedBenefitPlanExpectedFutureBenefitPaymentsFiveFiscalYearsThereafter
DefinedBenefitPlanExpectedFutureBenefitPaymentsNextTwelveMonths
DefinedBenefitPlanExpectedFutureBenefitPaymentsYearFive
DefinedBenefitPlanExpectedFutureBenefitPaymentsYearFour
DefinedBenefitPlanExpectedFutureBenefitPaymentsYearThree
DefinedBenefitPlanExpectedFutureBenefitPaymentsYearTwo
DefinedBenefitPlanFairValueOfPlanAssets
DefinedBenefitPlanHealthCareCostTrendRateAssumedForNextFiscalYear
DefinedBenefitPlanHealthCareCostTrendRateAssumedNextFiscalYear
DefinedBenefitPlanUltimateHealthCareCostTrendRate
DefinedBenefitPlanUltimateHealthCareCostTrendRate1
DefinedContributionPlanCostRecognized
DepositLiabilityCurrent
DepositsAssetsCurrent
DepreciationAmortizationAndAccretionNet
DepreciationAndAmortization
DerivativeAssetNotionalAmount
DerivativeAssets
DerivativeFairValueOfDerivativeAsset
DerivativeFairValueOfDerivativeLiability
DerivativeGainLossOnDerivativeNet
DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet
DerivativeLiabilities
DerivativeLiabilityNotionalAmount
DerivativeNotionalAmount
DividendsCommonStock
DividendsCommonStockCash
DividendsPayableAmount
DividendsPayableCurrentAndNoncurrent
EarningsPerShareBasic
EarningsPerShareDiluted
EffectOfExchangeRateOnCashAndCashEquivalents
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents
EffectiveIncomeTaxRateContinuingOperations
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate
EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate
EffectiveIncomeTaxRateReconciliationDeductionsOther
EffectiveIncomeTaxRateReconciliationFdiiAmount
EffectiveIncomeTaxRateReconciliationFdiiPercent
EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential
EffectiveIncomeTaxRateReconciliationNondeductibleExpense
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseOther
EffectiveIncomeTaxRateReconciliationOtherAdjustments
EffectiveIncomeTaxRateReconciliationRepatriationOfForeignEarnings
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes
EffectiveIncomeTaxRateReconciliationTaxCreditsForeign
EffectiveIncomeTaxRateReconciliationTaxCutsAndJobsActOf2017Amount
EffectiveIncomeTaxRateReconciliationTaxCutsAndJobsActOf2017TransitionTaxOnAccumulatedForeignEarningsAmount
EffectiveIncomeTaxRateReconciliationTaxCutsAndJobsActOf2017TransitionTaxOnAccumulatedForeignEarningsPercent
EffectiveIncomeTaxRateReconciliationTaxExemptIncome
EffectiveIncomeTaxRateReconciliationTaxSettlements
EmployeeRelatedLiabilitiesCurrent
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense
EmployeeServiceShareBasedCompensationTaxBenefitFromExerciseOfStockOptions
EmployeeServiceShareBasedCompensationTaxBenefitRealizedFromExerciseOfStockOptions
EquityMethodInvestmentOwnershipPercentage
EquityMethodInvestmentSoldCarryingAmount
EquityMethodInvestments
EquitySecuritiesFvNiAndWithoutReadilyDeterminableFairValue
EquitySecuritiesFvNiCurrentAndNoncurrent
EquitySecuritiesFvNiGainLoss
EquitySecuritiesFvNiRealizedGainLoss
EquitySecuritiesFvNiUnrealizedGainLoss
EquitySecuritiesWithoutReadilyDeterminableFairValueAmount
EquitySecuritiesWithoutReadilyDeterminableFairValueDownwardPriceAdjustmentCumulativeAmount
EquitySecuritiesWithoutReadilyDeterminableFairValueUpwardPriceAdjustmentAnnualAmount
EquitySecuritiesWithoutReadilyDeterminableFairValueUpwardPriceAdjustmentCumulativeAmount
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities
FairValueMeasuredOnRecurringBasisInvestments
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetGainLossIncludedInEarnings
FairValueOfAssetsAcquired
FiniteLivedIntangibleAssetsAccumulatedAmortization
FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo
FiniteLivedIntangibleAssetsFutureAmortizationExpense
FiniteLivedIntangibleAssetsGross
FiniteLivedIntangibleAssetsNet
FiniteLivedIntangibleAssetsUsefulLifeMaximum
FiniteLivedIntangibleAssetsUsefulLifeMinimum
ForeignEarningsRepatriated
FurnitureAndFixturesGross
FutureAmortizationExpenseYearFour
FutureAmortizationExpenseYearOne
FutureAmortizationExpenseYearThree
FutureAmortizationExpenseYearTwo
FutureMinimumSubleaseRentalsSaleLeasebackTransactions
GainLossOnContractTermination
GainLossOnDerivativeInstrumentsNetPretax
GainLossOnSaleOfInvestments
GainLossRelatedToLitigationSettlement
GeneralAndAdministrativeExpense
Goodwill
GoodwillAcquiredDuringPeriod
GoodwillForeignCurrencyTranslationGainLoss
GoodwillImpairmentLoss
GoodwillOtherChanges
GoodwillPeriodIncreaseDecrease
GoodwillTranslationAdjustments
GoodwillTranslationAndPurchaseAccountingAdjustments
GuaranteeObligationsMaximumExposure
GuarantyAssets
HeldToMaturitySecurities
HeldToMaturitySecuritiesCurrent
HeldToMaturitySecuritiesDebtMaturitiesAfterFiveThroughTenYearsFairValue
HeldToMaturitySecuritiesDebtMaturitiesAfterFiveThroughTenYearsNetCarryingAmount
